"Component","Quantile","Year","Optimal_Upgrade_Time","Optimal_Extended_Period","Avg_Price_Without_Upgrade","Avg_Price_With_Upgrade"
"CPU","First Quantile",2015.5,3.16714616521327,12.7024999999998,50.4498221065106,24.6215121620924
"CPU","Second Quantile",2015.5,4.08003105642703,17.4025000000002,141.316808330937,50.1393615392111
"CPU","Third Quantile",2015.5,4.41988715785683,21.2400000000006,358.35792171531,107.102928122495
"Disk","First Quantile",2015.5,4.32868519383275,15.5850000000001,50.4498221065106,18.5925941101251
"Disk","Second Quantile",2015.5,4.26889375271992,20.6275000000005,141.316808330937,37.0323851156444
"Disk","Third Quantile",2015.5,3.30883141931687,20.0000000000009,358.35792171531,128.590150120811
"GPU","First Quantile",2015.5,3.29023623080649,11.2724999999999,50.4498221065106,35.4600341234903
"GPU","Second Quantile",2015.5,3.5269958962817,12.0599999999998,141.316808330937,96.8465969917118
"GPU","Third Quantile",2015.5,3.2270178719718,13.0824999999999,358.35792171531,204.804622968845
"Memory","First Quantile",2015.5,3.05594271147791,6.15249999999997,50.4498221065106,38.5382529777655
"Memory","Second Quantile",2015.5,3.05156416485411,5.92249999999998,141.316808330937,123.067284047876
"Memory","Third Quantile",2015.5,2.63820676171543,5.71749999999999,358.35792171531,294.38622700482
